constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,others_voteshare,winner
73,0.5137,0.0635,0.261,0.1618,tmc
74,0.3419,0.0687,0.2471,0.3422,other
75,0.3072,0.0889,0.314,0.2899,left
76,0.3757,0.2543,0.3605,0.0095,tmc
77,0.4542,0.0655,0.3304,0.1499,tmc
78,0.3907,0.1148,0.2386,0.2559,tmc
79,0.471,0.2325,0.2714,0.0251,tmc
80,0.4142,0.1059,0.2157,0.2642,tmc
81,0.4989,0.0665,0.273,0.1617,tmc
82,0.3549,0.1526,0.2317,0.2608,tmc
83,0.479,0.1646,0.2751,0.0813,tmc
84,0.4161,0.0859,0.258,0.2401,tmc
85,0.3324,0.1211,0.2696,0.2768,tmc
86,0.352,0.0356,0.1945,0.418,other
87,0.3916,0.1949,0.2628,0.1508,tmc
88,0.3489,0.0886,0.3184,0.244,tmc
89,0.3804,0.0952,0.2191,0.3052,tmc
90,0.527,0.0948,0.2402,0.138,tmc
91,0.4826,0.1379,0.287,0.0926,tmc
92,0.4374,0.2521,0.3008,0.0097,tmc
93,0.3501,0.1618,0.2451,0.243,tmc
94,0.4685,0.0867,0.2656,0.1791,tmc
95,0.387,0.0934,0.1881,0.3314,tmc
96,0.3911,0.0496,0.2587,0.3007,tmc
97,0.4281,0.0702,0.2814,0.2203,tmc
98,0.4917,0.0773,0.2119,0.2192,tmc
99,0.3528,0.0668,0.2757,0.3047,tmc
100,0.5303,0.1587,0.2319,0.0791,tmc
101,0.4993,0.0594,0.2253,0.2159,tmc
102,0.3797,0.1688,0.2439,0.2075,tmc
103,0.4843,0.0965,0.3115,0.1078,tmc
104,0.376,0.02,0.2656,0.3384,tmc
105,0.4549,0.084,0.1655,0.2957,tmc
106,0.4616,0.184,0.229,0.1254,tmc
107,0.4794,0.1478,0.2964,0.0764,tmc
108,0.4437,0.1639,0.236,0.1564,tmc
109,0.4138,0.2624,0.1964,0.1273,tmc
110,0.3435,0.1615,0.2044,0.2906,tmc
111,0.3387,0.1654,0.164,0.3318,tmc
112,0.3343,0.2812,0.2286,0.1559,tmc
113,0.4991,0.195,0.2066,0.0992,tmc
114,0.5186,0.2259,0.2093,0.0462,tmc
115,0.4343,0.0562,0.2107,0.2987,tmc
116,0.4563,0.1601,0.1739,0.2098,tmc
117,0.3637,0.1241,0.2145,0.2977,tmc
118,0.4467,0.0537,0.1505,0.3491,tmc
119,0.5191,0.246,0.1718,0.0631,tmc
120,0.4412,0.1405,0.1702,0.2482,tmc
121,0.4782,0.0406,0.276,0.2052,tmc
122,0.3897,0.02,0.2597,0.3306,tmc
123,0.5595,0.1444,0.1368,0.1593,tmc
124,0.4943,0.0921,0.2236,0.1901,tmc
125,0.5901,0.0635,0.2517,0.0947,tmc
126,0.4555,0.1218,0.25,0.1727,tmc
127,0.5239,0.2781,0.1582,0.0398,tmc
128,0.4964,0.1865,0.2676,0.0496,tmc
129,0.4059,0.111,0.1606,0.3225,tmc
130,0.5481,0.0558,0.1598,0.2364,tmc
131,0.4521,0.0748,0.2042,0.269,tmc
132,0.5395,0.067,0.241,0.1525,tmc
133,0.4424,0.13,0.1914,0.2363,tmc
134,0.5171,0.1352,0.2713,0.0763,tmc
135,0.3718,0.0653,0.2516,0.3113,tmc
136,0.4556,0.0836,0.2806,0.1801,tmc
137,0.4553,0.02,0.2427,0.282,tmc
138,0.42,0.1512,0.2346,0.1941,tmc
139,0.4668,0.1426,0.2502,0.1404,tmc
140,0.57,0.1274,0.2557,0.0469,tmc
141,0.3583,0.1797,0.2524,0.2096,tmc
142,0.4849,0.2332,0.1989,0.083,tmc
143,0.4623,0.1438,0.2962,0.0977,tmc
144,0.518,0.0888,0.2026,0.1906,tmc
145,0.5232,0.02,0.2785,0.1783,tmc
146,0.4161,0.1181,0.1763,0.2895,tmc
147,0.5578,0.1382,0.2504,0.0536,tmc
148,0.4961,0.108,0.2163,0.1796,tmc
149,0.438,0.1453,0.2276,0.1891,tmc
150,0.5256,0.0465,0.2181,0.2098,tmc
151,0.4141,0.02,0.2092,0.3566,tmc
152,0.4575,0.02,0.2455,0.2769,tmc
153,0.3693,0.0701,0.2363,0.3244,tmc
154,0.3607,0.1497,0.2949,0.1946,tmc
155,0.4448,0.1011,0.2967,0.1574,tmc
156,0.4577,0.0211,0.2705,0.2507,tmc
157,0.5695,0.0834,0.319,0.0281,tmc
158,0.5414,0.0965,0.2385,0.1236,tmc
159,0.4656,0.1074,0.2535,0.1735,tmc
160,0.483,0.2135,0.2512,0.0523,tmc
161,0.4588,0.0863,0.2408,0.2142,tmc
162,0.386,0.02,0.2451,0.3489,tmc
163,0.5546,0.0948,0.2513,0.0992,tmc
164,0.5375,0.1435,0.2356,0.0834,tmc
165,0.4428,0.02,0.2761,0.2612,tmc
166,0.5216,0.0531,0.1602,0.2651,tmc
167,0.5279,0.0514,0.2413,0.1793,tmc
168,0.5092,0.0934,0.2403,0.1571,tmc
169,0.3105,0.07,0.2741,0.3454,other
170,0.4984,0.0768,0.2375,0.1873,tmc
171,0.5222,0.0815,0.2549,0.1414,tmc
172,0.5516,0.1309,0.263,0.0545,tmc
173,0.5869,0.1467,0.2567,0.0097,tmc
174,0.5643,0.0998,0.2311,0.1048,tmc
175,0.5529,0.0794,0.3033,0.0644,tmc
176,0.5087,0.0996,0.1688,0.2229,tmc
177,0.5296,0.0334,0.2779,0.1591,tmc
178,0.4881,0.02,0.2405,0.2514,tmc
179,0.3962,0.0406,0.2634,0.2999,tmc
180,0.5649,0.1708,0.255,0.0093,tmc
181,0.5098,0.1406,0.3081,0.0415,tmc
182,0.3006,0.0696,0.2223,0.4075,other
183,0.4214,0.106,0.256,0.2167,tmc
184,0.4532,0.02,0.1967,0.3301,tmc
185,0.3537,0.02,0.3352,0.2911,tmc
186,0.4651,0.0479,0.1992,0.2878,tmc
187,0.4507,0.1166,0.2518,0.181,tmc
188,0.4665,0.02,0.307,0.2065,tmc
189,0.4927,0.0569,0.1662,0.2842,tmc
190,0.4813,0.02,0.2258,0.2729,tmc
191,0.5159,0.02,0.2577,0.2064,tmc
192,0.5633,0.117,0.2579,0.0618,tmc
193,0.2854,0.125,0.2143,0.3753,other
194,0.3832,0.1033,0.268,0.2455,tmc
195,0.5258,0.02,0.1765,0.2777,tmc
196,0.5503,0.046,0.2373,0.1664,tmc
197,0.5815,0.0928,0.1497,0.1761,tmc
198,0.3526,0.1703,0.2463,0.2307,tmc
199,0.4718,0.0507,0.2356,0.2419,tmc
200,0.4401,0.1323,0.2975,0.13,tmc
201,0.5074,0.1052,0.2478,0.1396,tmc
202,0.5575,0.1771,0.2299,0.0355,tmc
203,0.4414,0.02,0.236,0.3025,tmc
204,0.4418,0.2627,0.2859,0.0096,tmc
205,0.6133,0.1871,0.1898,0.0098,tmc
206,0.4333,0.1085,0.2415,0.2168,tmc
207,0.5774,0.1604,0.2524,0.0098,tmc
208,0.4911,0.0893,0.2984,0.1211,tmc
209,0.4558,0.1093,0.1661,0.2688,tmc
210,0.4002,0.02,0.279,0.3007,tmc
211,0.5587,0.075,0.3107,0.0556,tmc
212,0.4342,0.1285,0.2186,0.2187,tmc
213,0.562,0.0937,0.3082,0.0361,tmc
214,0.5577,0.0579,0.2516,0.1327,tmc
215,0.5514,0.1182,0.2316,0.0989,tmc
216,0.5005,0.1126,0.2466,0.1403,tmc
217,0.4963,0.1355,0.2441,0.1241,tmc
218,0.3881,0.0394,0.2175,0.3551,tmc
219,0.4777,0.1091,0.2281,0.1852,tmc
220,0.5474,0.0595,0.2736,0.1196,tmc
221,0.6093,0.1253,0.2395,0.0259,tmc
222,0.4447,0.0608,0.1227,0.3717,tmc
223,0.5234,0.092,0.2755,0.1091,tmc
224,0.4253,0.1603,0.2688,0.1455,tmc
225,0.5365,0.0353,0.2609,0.1673,tmc
226,0.4709,0.0887,0.1571,0.2834,tmc
227,0.4946,0.1581,0.2743,0.0731,tmc
228,0.5081,0.0295,0.2818,0.1806,tmc
229,0.4129,0.0602,0.1707,0.3562,tmc
230,0.4461,0.0622,0.2662,0.2254,tmc
231,0.4645,0.0907,0.325,0.1198,tmc
232,0.4,0.112,0.2708,0.2172,tmc
233,0.5163,0.1236,0.2619,0.0982,tmc
234,0.5362,0.0753,0.2227,0.1657,tmc
235,0.4427,0.074,0.1949,0.2884,tmc
236,0.3741,0.138,0.1255,0.3625,tmc
237,0.4481,0.1903,0.2344,0.1272,tmc
238,0.4413,0.1349,0.2688,0.1549,tmc
239,0.468,0.0994,0.2308,0.2018,tmc
240,0.6042,0.0664,0.1496,0.1798,tmc
241,0.5096,0.1054,0.2562,0.1288,tmc
242,0.6047,0.02,0.2314,0.1439,tmc
243,0.4218,0.1251,0.2999,0.1532,tmc
244,0.407,0.0252,0.2494,0.3183,tmc
245,0.4774,0.0884,0.2313,0.2029,tmc
246,0.5204,0.1174,0.1976,0.1646,tmc
247,0.4321,0.1552,0.2374,0.1753,tmc
248,0.5875,0.0238,0.2537,0.135,tmc
249,0.5689,0.1575,0.1524,0.1213,tmc
250,0.3717,0.0749,0.1849,0.3685,tmc
251,0.4668,0.1992,0.2102,0.1238,tmc
252,0.4813,0.1808,0.1372,0.2007,tmc
253,0.4212,0.1282,0.2295,0.2211,tmc
254,0.5813,0.0931,0.1874,0.1382,tmc
255,0.4549,0.1747,0.2259,0.1445,tmc
256,0.4767,0.0366,0.2598,0.2269,tmc
257,0.4754,0.1193,0.2536,0.1517,tmc
258,0.555,0.0997,0.179,0.1664,tmc
259,0.5238,0.1408,0.2199,0.1155,tmc
260,0.4833,0.02,0.1734,0.3233,tmc
261,0.4363,0.105,0.1942,0.2645,tmc
262,0.5358,0.0859,0.2281,0.1502,tmc
263,0.4816,0.1151,0.2197,0.1835,tmc
264,0.5603,0.1329,0.1548,0.1519,tmc
265,0.5121,0.0307,0.2383,0.2189,tmc
266,0.4743,0.0448,0.2821,0.1988,tmc
267,0.5313,0.1018,0.19,0.1769,tmc
268,0.5021,0.1872,0.2393,0.0714,tmc
269,0.5268,0.1534,0.2821,0.0376,tmc
270,0.4217,0.0969,0.2633,0.2181,tmc
271,0.4045,0.0464,0.1888,0.3602,tmc
272,0.5128,0.0813,0.3326,0.0733,tmc
273,0.4636,0.02,0.2473,0.2691,tmc
274,0.4904,0.02,0.2163,0.2733,tmc
275,0.3759,0.0801,0.3095,0.2345,tmc
276,0.5017,0.0929,0.2165,0.1889,tmc
277,0.5614,0.0851,0.2953,0.0583,tmc
278,0.435,0.1666,0.1197,0.2787,tmc
279,0.5296,0.1813,0.2181,0.071,tmc
280,0.5148,0.0888,0.2203,0.1761,tmc
281,0.4361,0.0329,0.2326,0.2983,tmc
282,0.4178,0.1179,0.235,0.2293,tmc
283,0.3963,0.1324,0.1525,0.3188,tmc
284,0.5273,0.1155,0.245,0.1122,tmc
285,0.4896,0.1775,0.1754,0.1576,tmc
286,0.482,0.1006,0.21,0.2074,tmc
287,0.5267,0.1495,0.2998,0.0241,tmc
288,0.431,0.1228,0.1853,0.2608,tmc
289,0.3544,0.1552,0.2617,0.2287,tmc
290,0.4604,0.1548,0.249,0.1357,tmc
291,0.5105,0.1809,0.2105,0.0981,tmc
292,0.4598,0.1285,0.2447,0.1671,tmc
293,0.5219,0.1627,0.1854,0.13,tmc
294,0.5141,0.02,0.158,0.3079,tmc
