constituency_id,name,district,deletion_count,deletion_rate,minority_share,sir_severity,data_source
35,Cooch Behar South,Cooch Behar,5000,0.0227,0.25,low,estimated
36,Sitai,Cooch Behar,5000,0.0227,0.3,low,estimated
37,Sitalkuchi,Cooch Behar,5000,0.0227,0.3,low,estimated
38,Tufanganj,Cooch Behar,5000,0.0227,0.2,low,estimated
39,Natabari,Cooch Behar,5000,0.0227,0.18,low,estimated
40,Dinhata,Cooch Behar,15460,0.0814,0.35,high,reported_ac_specific
41,Nishiganj,Cooch Behar,5000,0.0227,0.28,low,estimated
42,Mekhliganj,Cooch Behar,5000,0.0227,0.18,low,estimated
43,Habibpur,Malda,5000,0.0227,0.55,low,estimated
44,Gazole,Malda,5000,0.0227,0.6,low,estimated
45,Chanchal,Malda,5000,0.0227,0.7,low,estimated
46,Harischandrapur-I,Malda,5000,0.0227,0.65,low,estimated
47,Harischandrapur-II,Malda,5000,0.0227,0.68,low,estimated
48,Ratua-I,Malda,17787,0.1190,0.62,very_high,reported_ac_specific
49,Ratua-II,Malda,17786,0.1190,0.60,very_high,reported_ac_specific
50,Manikchak,Malda,5000,0.0227,0.55,low,estimated
51,Malda,Malda,5000,0.0227,0.45,low,estimated
52,English Bazar,Malda,5000,0.0227,0.48,low,estimated
53,Mothabari,Malda,37255,0.1753,0.65,very_high,reported_ac_specific
54,Sujapur,Malda,5000,0.0227,0.58,low,estimated
55,Purulia,Purulia,5000,0.0227,0.12,low,estimated
56,Jhalda-I,Purulia,5000,0.0227,0.1,low,estimated
57,Jhalda-II,Purulia,5000,0.0227,0.1,low,estimated
58,Balarampur,Purulia,19526,0.0888,0.08,high,reported_ac_specific
59,Baghmundi,Purulia,5000,0.0227,0.06,low,estimated
60,Kashipur,Purulia,5000,0.0227,0.1,low,estimated
61,Para,Purulia,5000,0.0227,0.08,low,estimated
62,Raghunathpur-I,Purulia,5000,0.0227,0.1,low,estimated
63,Raghunathpur-II,Purulia,5000,0.0227,0.1,low,estimated
64,Manbazar-I,Purulia,5000,0.0227,0.08,low,estimated
65,Manbazar-II,Purulia,5000,0.0227,0.08,low,estimated
66,Jhargram,Jhargram,5000,0.0227,0.08,low,estimated
67,Binpur-I,Jhargram,5000,0.0227,0.06,low,estimated
68,Binpur-II,Jhargram,5000,0.0227,0.06,low,estimated
69,Nayagram,Jhargram,5000,0.0227,0.06,low,estimated
70,Ranibandh,Bankura,5000,0.0227,0.08,low,estimated
71,Raipur-I,Bankura,5000,0.0227,0.08,low,estimated
72,Raipur-II,Bankura,5000,0.0227,0.08,low,estimated
73,Taldangra,Bankura,5000,0.0227,0.1,low,estimated
74,Saltora,Bankura,5000,0.0227,0.08,low,estimated
75,Chhatna,Bankura,5000,0.0227,0.1,low,estimated
76,Barjora,Bankura,5000,0.0227,0.12,low,estimated
77,Salboni,Paschim Medinipur,5000,0.0227,0.1,low,district_average
78,Keshpur,Paschim Medinipur,5000,0.0227,0.12,low,district_average
79,Garbeta,Paschim Medinipur,5000,0.0227,0.1,low,district_average
80,Bankura,Bankura,5000,0.0227,0.12,low,estimated
81,Onda,Bankura,5000,0.0227,0.1,low,estimated
82,Bishnupur,Bankura,5000,0.0227,0.12,low,estimated
83,Kotulpur,Bankura,5000,0.0227,0.1,low,estimated
84,Indpur,Bankura,5000,0.0227,0.08,low,estimated
85,Sonamukhi,Bankura,5000,0.0227,0.1,low,estimated
86,Medinipur,Paschim Medinipur,5000,0.0227,0.12,low,district_average
87,Narayangarh,Paschim Medinipur,5000,0.0227,0.1,low,district_average
88,Sabang,Paschim Medinipur,5000,0.0227,0.12,low,district_average
89,Pingla,Paschim Medinipur,5000,0.0227,0.1,low,district_average
90,Kharagpur Sadar,Paschim Medinipur,5000,0.0227,0.12,low,district_average
91,Nandakumar,Purba Medinipur,1435,0.0065,0.12,low,district_average
92,Mahishadal,Purba Medinipur,1435,0.0065,0.1,low,district_average
93,Haldia,Purba Medinipur,1435,0.0065,0.12,low,district_average
94,Nandigram,Purba Medinipur,1435,0.0065,0.18,low,district_average
95,Chandipur,Purba Medinipur,1435,0.0065,0.1,low,district_average
96,Patashpur,Purba Medinipur,1435,0.0065,0.1,low,district_average
97,Contai North,Purba Medinipur,1435,0.0065,0.1,low,district_average
98,Contai South,Purba Medinipur,1435,0.0065,0.1,low,district_average
99,Ramnagar,Purba Medinipur,1435,0.0065,0.1,low,district_average
100,Egra,Purba Medinipur,1435,0.0065,0.12,low,district_average
101,Bhagwanpur,Purba Medinipur,1435,0.0065,0.1,low,district_average
102,Khejuri,Purba Medinipur,1435,0.0065,0.1,low,district_average
103,Tamluk,Purba Medinipur,8434,0.0384,0.12,medium,reported_ac_specific
104,Moyna,Purba Medinipur,1435,0.0065,0.1,low,district_average
105,Panskura East,Purba Medinipur,1435,0.0065,0.12,low,district_average
106,Panskura West,Purba Medinipur,1435,0.0065,0.12,low,district_average
107,Kolkata Port,Kolkata,2818,0.0128,0.35,low,district_average
108,Bhabanipur,Kolkata,51004,0.2476,0.30,extreme,reported_ac_specific
109,Rashbehari,Kolkata,2818,0.0128,0.2,low,district_average
110,Ballygunge,Kolkata,2818,0.0128,0.18,low,district_average
111,Chowringhee,Kolkata,2818,0.0128,0.15,low,district_average
112,Entally,Kolkata,2818,0.0128,0.42,low,district_average
113,Beleghata,Kolkata,2818,0.0128,0.38,low,district_average
114,Jorasanko,Kolkata,2818,0.0128,0.35,low,district_average
115,Shyampukur,Kolkata,2818,0.0128,0.3,low,district_average
116,Maniktala,Kolkata,2818,0.0128,0.22,low,district_average
117,Kasba,Kolkata,2818,0.0128,0.18,low,district_average
118,Howrah North,Howrah,3666,0.0167,0.3,low,district_average
119,Howrah Central,Howrah,3666,0.0167,0.28,low,district_average
120,Howrah South,Howrah,3666,0.0167,0.25,low,district_average
121,Shibpur,Howrah,3666,0.0167,0.22,low,district_average
122,Bally,Howrah,3666,0.0167,0.28,low,district_average
123,Uluberia North,Howrah,3666,0.0167,0.35,low,district_average
124,Uluberia South,Howrah,3666,0.0167,0.32,low,district_average
125,Shyampur,Howrah,3666,0.0167,0.28,low,district_average
126,Bagnan,Howrah,3666,0.0167,0.22,low,district_average
127,Amta,Howrah,3666,0.0167,0.2,low,district_average
128,Udaynarayanpur,Howrah,3666,0.0167,0.18,low,district_average
129,Jagatballavpur,Howrah,3666,0.0167,0.2,low,district_average
130,Domjur,Howrah,3666,0.0167,0.3,low,district_average
131,Panchla,Howrah,3666,0.0167,0.25,low,district_average
132,Sankrail,Howrah,3666,0.0167,0.25,low,district_average
133,Panihati,North 24 Parganas,11630,0.0529,0.28,low,district_average
134,Kamarhati,North 24 Parganas,11630,0.0529,0.25,low,district_average
135,Dum Dum,North 24 Parganas,11630,0.0529,0.22,low,district_average
136,Rajarhat-Newtown,North 24 Parganas,24132,0.0740,0.18,high,reported_ac_specific
137,Bidhannagar,North 24 Parganas,11630,0.0529,0.15,low,district_average
138,Baranagar,North 24 Parganas,11630,0.0529,0.22,low,district_average
139,Barrackpur,North 24 Parganas,11630,0.0529,0.22,low,district_average
140,Naihati,North 24 Parganas,11630,0.0529,0.28,low,district_average
141,Bhatpara,North 24 Parganas,11630,0.0529,0.3,low,district_average
142,Jagaddal,North 24 Parganas,11630,0.0529,0.28,low,district_average
143,Noapara,North 24 Parganas,11630,0.0529,0.25,low,district_average
144,Habra,North 24 Parganas,18791,0.0748,0.12,high,reported_ac_specific
145,Amdanga,North 24 Parganas,11630,0.0529,0.35,low,district_average
146,Rajarhat,North 24 Parganas,11630,0.0529,0.25,low,district_average
147,Deganga,North 24 Parganas,11630,0.0529,0.5,low,district_average
148,Haroa,North 24 Parganas,11630,0.0529,0.6,low,district_average
149,Minakhan,North 24 Parganas,11630,0.0529,0.58,low,district_average
150,Sandeshkhali-I,North 24 Parganas,11630,0.0529,0.55,low,district_average
151,Sandeshkhali-II,North 24 Parganas,11630,0.0529,0.52,low,district_average
152,Basirhat North,North 24 Parganas,11630,0.0529,0.62,low,district_average
153,Basirhat South,North 24 Parganas,11630,0.0529,0.6,low,district_average
154,Hingalganj,North 24 Parganas,11630,0.0529,0.55,low,district_average
155,Gaighata,North 24 Parganas,19638,0.0893,0.15,medium,reported_ac_specific
156,Swarupnagar,North 24 Parganas,11630,0.0529,0.45,low,district_average
157,Baduria,North 24 Parganas,11630,0.0529,0.52,low,district_average
158,Bangaon North,North 24 Parganas,11630,0.0529,0.2,low,district_average
159,Bangaon South,North 24 Parganas,6902,0.0314,0.22,medium,reported_ac_specific
160,Gaighata,North 24 Parganas,19638,0.0893,0.15,medium,reported_ac_specific
161,Ranaghat North-I,Nadia,13039,0.0593,0.2,low,district_average
162,Ranaghat North-II,Nadia,20796,0.0770,0.20,high,reported_ac_specific
163,Ranaghat South,Nadia,17411,0.0791,0.18,medium,reported_ac_specific
164,Chakdah,Nadia,13039,0.0593,0.22,low,district_average
165,Kalyani,Nadia,9037,0.0411,0.18,medium,reported_ac_specific
166,Haringhata,Nadia,13039,0.0593,0.18,low,district_average
167,Krishnaganj,Nadia,13039,0.0593,0.45,low,district_average
168,Krishnanagar North,Nadia,13039,0.0593,0.38,low,district_average
169,Krishnanagar South,Nadia,13039,0.0593,0.35,low,district_average
170,Nabadwip,Nadia,13039,0.0593,0.2,low,district_average
171,Chapra,Nadia,13039,0.0593,0.5,low,district_average
172,Karimpur,Nadia,13039,0.0593,0.55,low,district_average
173,Tehatta,Nadia,13039,0.0593,0.52,low,district_average
174,Palashipara,Nadia,13039,0.0593,0.58,low,district_average
175,Nakashipara,Nadia,21890,0.0995,0.55,high,reported_ac_specific
176,Hanskhali,Nadia,13039,0.0593,0.25,low,district_average
177,Murshidabad,Murshidabad,1458,0.0066,0.72,low,district_average
178,Nabagram,Murshidabad,1458,0.0066,0.68,low,district_average
179,Khargram,Murshidabad,1458,0.0066,0.6,low,district_average
180,Kandi,Murshidabad,1458,0.0066,0.62,low,district_average
181,Bharatpur,Murshidabad,1458,0.0066,0.58,low,district_average
182,Rejinagar,Murshidabad,1458,0.0066,0.62,low,district_average
183,Beldanga-I,Murshidabad,1458,0.0066,0.7,low,district_average
184,Beldanga-II,Murshidabad,1458,0.0066,0.68,low,district_average
185,Baharampur,Murshidabad,1458,0.0066,0.48,low,district_average
186,Hariharpara,Murshidabad,1458,0.0066,0.55,low,district_average
187,Nowda,Murshidabad,1458,0.0066,0.58,low,district_average
188,Samserganj,Murshidabad,74775,0.2957,0.95,extreme,reported_ac_specific
189,Suti-I,Murshidabad,18983,0.1342,0.78,very_high,reported_ac_specific
190,Suti-II,Murshidabad,18982,0.1342,0.75,very_high,reported_ac_specific
191,Jangipur,Murshidabad,36581,0.1365,0.60,very_high,reported_ac_specific
192,Raghunathganj-I,Murshidabad,23050,0.1729,0.62,very_high,reported_ac_specific
193,Raghunathganj-II,Murshidabad,23050,0.1729,0.58,very_high,reported_ac_specific
194,Sagardighi,Murshidabad,1458,0.0066,0.58,low,district_average
195,Lalgola,Murshidabad,55420,0.2196,0.72,extreme,reported_ac_specific
196,Bhagwangola-I,Murshidabad,23747,0.1685,0.68,very_high,reported_ac_specific
197,Bhagwangola-II,Murshidabad,23746,0.1685,0.65,very_high,reported_ac_specific
198,Domkal,Murshidabad,1458,0.0066,0.72,low,district_average
199,Jalangi,Murshidabad,1458,0.0066,0.8,low,district_average
200,Berhampore,Murshidabad,1458,0.0066,0.52,low,district_average
201,Birbhum,Birbhum,5000,0.0227,0.35,low,estimated
202,Nalhati,Birbhum,5000,0.0227,0.42,low,estimated
203,Murarai-I,Birbhum,5000,0.0227,0.52,low,estimated
204,Murarai-II,Birbhum,5000,0.0227,0.48,low,estimated
205,Mayureswar-I,Birbhum,5000,0.0227,0.32,low,estimated
206,Mayureswar-II,Birbhum,5000,0.0227,0.3,low,estimated
207,Rampurhat-I,Birbhum,5000,0.0227,0.3,low,estimated
208,Rampurhat-II,Birbhum,5000,0.0227,0.3,low,estimated
209,Hansan,Birbhum,5000,0.0227,0.25,low,estimated
210,Dubrajpur,Birbhum,5000,0.0227,0.22,low,estimated
211,Suri-I,Birbhum,5000,0.0227,0.2,low,estimated
212,Suri-II,Birbhum,5000,0.0227,0.2,low,estimated
213,Bolpur,Birbhum,5000,0.0227,0.22,low,estimated
214,Ilambazar,Birbhum,5000,0.0227,0.2,low,estimated
215,Burdwan North,Purba Burdwan,5000,0.0227,0.18,low,estimated
216,Burdwan South,Purba Burdwan,5000,0.0227,0.18,low,estimated
217,Raina,Purba Burdwan,5000,0.0227,0.15,low,estimated
218,Jamalpur,Purba Burdwan,5000,0.0227,0.15,low,estimated
219,Monteswar,Purba Burdwan,5000,0.0227,0.18,low,estimated
220,Kalna,Purba Burdwan,5000,0.0227,0.15,low,estimated
221,Memari,Purba Burdwan,5000,0.0227,0.15,low,estimated
222,Katwa,Purba Burdwan,5000,0.0227,0.18,low,estimated
223,Ketugram,Purba Burdwan,5000,0.0227,0.25,low,estimated
224,Mangalkot,Purba Burdwan,5000,0.0227,0.25,low,estimated
225,Ausgram-I,Purba Burdwan,5000,0.0227,0.2,low,estimated
226,Ausgram-II,Purba Burdwan,5000,0.0227,0.2,low,estimated
227,Galsi,Purba Burdwan,5000,0.0227,0.18,low,estimated
228,Durgapur East,Paschim Burdwan,5000,0.0227,0.15,low,estimated
229,Durgapur West,Paschim Burdwan,5000,0.0227,0.15,low,estimated
230,Raniganj,Paschim Burdwan,5000,0.0227,0.15,low,estimated
231,Jamuria,Paschim Burdwan,5000,0.0227,0.15,low,estimated
232,Asansol North,Paschim Burdwan,5000,0.0227,0.22,low,estimated
233,Asansol South,Paschim Burdwan,5000,0.0227,0.2,low,estimated
234,Kulti,Paschim Burdwan,38832,0.1765,0.15,very_high,reported_ac_specific
235,Barabani,Paschim Burdwan,5000,0.0227,0.12,low,estimated
236,Pandabeswar,Paschim Burdwan,5000,0.0227,0.12,low,estimated
237,Hooghly,Hooghly,2894,0.0132,0.2,low,district_average
238,Singur,Hooghly,2894,0.0132,0.15,low,district_average
239,Chanditala,Hooghly,2894,0.0132,0.15,low,district_average
240,Jangipara,Hooghly,2894,0.0132,0.22,low,district_average
241,Haripal,Hooghly,2894,0.0132,0.2,low,district_average
242,Dhaniakhali,Hooghly,2894,0.0132,0.2,low,district_average
243,Pursurah,Hooghly,2894,0.0132,0.22,low,district_average
244,Goghat,Hooghly,2894,0.0132,0.15,low,district_average
245,Arambag,Hooghly,2894,0.0132,0.15,low,district_average
246,Khanakul,Hooghly,2894,0.0132,0.18,low,district_average
247,Tarakeswar,Hooghly,2894,0.0132,0.15,low,district_average
248,Serampore,Hooghly,2894,0.0132,0.25,low,district_average
249,Champdani,Hooghly,2894,0.0132,0.22,low,district_average
250,Uttarpara,Hooghly,2894,0.0132,0.18,low,district_average
251,Srirampore,Hooghly,2894,0.0132,0.18,low,district_average
252,Bally-Jagachha,Hooghly,2894,0.0132,0.22,low,district_average
253,Chinsurah,Hooghly,2894,0.0132,0.18,low,district_average
254,Chandernagore,Hooghly,2894,0.0132,0.15,low,district_average
255,Uttarpara,Hooghly,2894,0.0132,0.18,low,district_average
256,Diamond Harbour,South 24 Parganas,8574,0.039,0.3,low,district_average
257,Falta,South 24 Parganas,8574,0.039,0.28,low,district_average
258,Satgachhi,South 24 Parganas,8574,0.039,0.22,low,district_average
259,Bishnupur,South 24 Parganas,8574,0.039,0.28,low,district_average
260,Magrahat West,South 24 Parganas,8574,0.039,0.38,low,district_average
261,Magrahat East,South 24 Parganas,8574,0.039,0.35,low,district_average
262,Mandirbazar,South 24 Parganas,8574,0.039,0.32,low,district_average
263,Joynagar,South 24 Parganas,8574,0.039,0.38,low,district_average
264,Kultali,South 24 Parganas,8574,0.039,0.4,low,district_average
265,Baruipur East,South 24 Parganas,8574,0.039,0.32,low,district_average
266,Baruipur West,South 24 Parganas,8574,0.039,0.32,low,district_average
267,Sonarpur North,South 24 Parganas,8574,0.039,0.25,low,district_average
268,Sonarpur South,South 24 Parganas,8574,0.039,0.25,low,district_average
269,Canning West,South 24 Parganas,8574,0.039,0.45,low,district_average
270,Canning East,South 24 Parganas,8574,0.039,0.45,low,district_average
271,Basanti,South 24 Parganas,8574,0.039,0.52,low,district_average
272,Gosaba,South 24 Parganas,8574,0.039,0.48,low,district_average
273,Patharpratima,South 24 Parganas,8574,0.039,0.48,low,district_average
274,Kakdwip,South 24 Parganas,8574,0.039,0.3,low,district_average
275,Sagar,South 24 Parganas,8574,0.039,0.25,low,district_average
276,Kulpi,South 24 Parganas,8574,0.039,0.3,low,district_average
277,Mathurapur,South 24 Parganas,8574,0.039,0.35,low,district_average
278,Budge Budge,South 24 Parganas,8574,0.039,0.3,low,district_average
279,Metiabruz,South 24 Parganas,39579,0.1799,0.72,high,reported_ac_specific
280,Garden Reach,South 24 Parganas,8574,0.039,0.65,low,district_average
281,Jadavpur,South 24 Parganas,8574,0.039,0.18,low,district_average
282,Tollygunge,Kolkata,2818,0.0128,0.15,low,district_average
283,Behala East,Kolkata,2818,0.0128,0.15,low,district_average
284,Behala West,Kolkata,2818,0.0128,0.15,low,district_average
285,Thakurpukur,Kolkata,2818,0.0128,0.15,low,district_average
286,Regent Park,Kolkata,2818,0.0128,0.15,low,district_average
287,Kalighat,Kolkata,2818,0.0128,0.18,low,district_average
288,Cossipore-Belgachia,Kolkata,2818,0.0128,0.35,low,district_average
289,Belgachia,Kolkata,2818,0.0128,0.28,low,district_average
290,Sinthee,Kolkata,2818,0.0128,0.2,low,district_average
291,Baghajatin,Kolkata,2818,0.0128,0.15,low,district_average
292,Phool Bagan,Kolkata,2818,0.0128,0.22,low,district_average
293,Ward 55,Kolkata,2818,0.0128,0.18,low,district_average
294,Ward 108,Kolkata,2818,0.0128,0.15,low,district_average
295,Farakka,Murshidabad,38222,0.1599,0.70,very_high,reported_ac_specific
296,Dantan,Paschim Medinipur,8609,0.0430,0.10,medium,reported_ac_specific
297,Ghatal,Paschim Medinipur,11452,0.0520,0.10,medium,reported_ac_specific
