constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,others_voteshare,winner
90,0.3929,0.0645,0.3801,0.1624,tmc
91,0.4925,0.0822,0.3498,0.0755,tmc
92,0.3848,0.02,0.3508,0.2445,tmc
93,0.2969,0.0535,0.3981,0.2515,left
94,0.3786,0.0296,0.4,0.1918,left
95,0.409,0.0642,0.3985,0.1283,tmc
96,0.3546,0.0776,0.3437,0.2242,tmc
97,0.2921,0.02,0.3873,0.3005,left
98,0.3797,0.02,0.3948,0.2055,left
99,0.4195,0.02,0.3735,0.187,tmc
100,0.1778,0.0423,0.3964,0.3834,left
101,0.4254,0.0838,0.3755,0.1154,tmc
102,0.476,0.02,0.3724,0.1316,tmc
103,0.2551,0.0623,0.3482,0.3344,left
104,0.3235,0.1833,0.4,0.0932,left
105,0.3968,0.0876,0.3958,0.1199,tmc
106,0.4813,0.02,0.4,0.0987,tmc
107,0.5793,0.02,0.3174,0.0833,tmc
108,0.3883,0.0859,0.2971,0.2286,tmc
109,0.3895,0.0738,0.2846,0.2521,tmc
110,0.4313,0.0627,0.2918,0.2143,tmc
111,0.4504,0.02,0.2442,0.2855,tmc
112,0.4325,0.1553,0.247,0.1652,tmc
113,0.5245,0.02,0.2933,0.1622,tmc
114,0.3993,0.02,0.2399,0.3407,tmc
115,0.3215,0.0529,0.2969,0.3286,other
116,0.4242,0.0407,0.3363,0.1987,tmc
117,0.4,0.1149,0.3436,0.1415,tmc
118,0.3299,0.1476,0.3126,0.2099,tmc
119,0.5043,0.0406,0.3096,0.1456,tmc
120,0.5287,0.087,0.2903,0.094,tmc
121,0.426,0.0301,0.3029,0.241,tmc
122,0.3368,0.0229,0.2484,0.392,other
123,0.4617,0.0455,0.2477,0.245,tmc
124,0.329,0.052,0.2542,0.3648,other
125,0.5209,0.02,0.3324,0.1267,tmc
126,0.4395,0.02,0.3553,0.1851,tmc
127,0.4214,0.0473,0.2637,0.2676,tmc
128,0.4448,0.113,0.279,0.1633,tmc
129,0.3227,0.0365,0.2464,0.3944,other
130,0.5133,0.02,0.2959,0.1708,tmc
131,0.5477,0.1172,0.2664,0.0687,tmc
132,0.4384,0.138,0.272,0.1515,tmc
133,0.3821,0.0741,0.2166,0.3273,tmc
134,0.5333,0.1196,0.2695,0.0777,tmc
135,0.4585,0.0908,0.3093,0.1414,tmc
136,0.3705,0.02,0.2757,0.3338,tmc
137,0.4793,0.0465,0.2489,0.2254,tmc
138,0.4777,0.049,0.2729,0.2005,tmc
139,0.4036,0.0419,0.2867,0.2678,tmc
140,0.5584,0.0843,0.3475,0.0099,tmc
141,0.3713,0.146,0.2793,0.2033,tmc
142,0.4347,0.02,0.322,0.2233,tmc
143,0.529,0.1331,0.2591,0.0788,tmc
144,0.4773,0.02,0.3872,0.1155,tmc
145,0.444,0.0837,0.304,0.1684,tmc
146,0.4407,0.02,0.3261,0.2132,tmc
147,0.49,0.02,0.4,0.09,tmc
148,0.3956,0.02,0.3858,0.1986,tmc
149,0.4278,0.02,0.2567,0.2956,tmc
150,0.3435,0.02,0.3283,0.3082,tmc
151,0.4424,0.02,0.2905,0.2471,tmc
152,0.4947,0.02,0.2977,0.1876,tmc
153,0.4925,0.0429,0.2851,0.1795,tmc
154,0.5447,0.0343,0.3426,0.0784,tmc
155,0.3215,0.0435,0.4,0.235,left
156,0.4768,0.1041,0.3816,0.0374,tmc
157,0.4101,0.02,0.3396,0.2303,tmc
158,0.337,0.02,0.3531,0.2899,left
159,0.4492,0.1412,0.364,0.0455,tmc
160,0.3373,0.0586,0.2945,0.3096,tmc
161,0.4121,0.02,0.3333,0.2346,tmc
162,0.3618,0.047,0.3409,0.2503,tmc
163,0.5058,0.0564,0.3661,0.0717,tmc
164,0.5054,0.0703,0.3647,0.0595,tmc
165,0.4329,0.0724,0.3316,0.1631,tmc
166,0.4882,0.02,0.2856,0.2062,tmc
167,0.4363,0.0681,0.324,0.1716,tmc
168,0.5441,0.02,0.3427,0.0932,tmc
169,0.4231,0.1234,0.3907,0.0628,tmc
170,0.5662,0.0763,0.3479,0.0096,tmc
171,0.4955,0.02,0.3107,0.1738,tmc
172,0.376,0.02,0.3643,0.2397,tmc
173,0.3728,0.02,0.3484,0.2588,tmc
174,0.4362,0.02,0.3044,0.2393,tmc
175,0.5598,0.105,0.3255,0.0097,tmc
176,0.353,0.02,0.3273,0.2997,tmc
177,0.4479,0.0722,0.3316,0.1484,tmc
178,0.4303,0.0998,0.3237,0.1462,tmc
179,0.4002,0.02,0.373,0.2068,tmc
180,0.4545,0.1887,0.3472,0.0096,tmc
181,0.413,0.0582,0.2685,0.2604,tmc
182,0.3583,0.0869,0.3335,0.2212,tmc
183,0.4313,0.1007,0.2919,0.176,tmc
184,0.4643,0.02,0.3402,0.1754,tmc
185,0.3598,0.02,0.2948,0.3253,tmc
186,0.4562,0.0217,0.3463,0.1758,tmc
187,0.5613,0.02,0.3532,0.0655,tmc
188,0.4967,0.0241,0.2979,0.1813,tmc
189,0.4339,0.0241,0.2913,0.2507,tmc
190,0.4746,0.0866,0.3255,0.1133,tmc
191,0.4383,0.02,0.3237,0.218,tmc
192,0.4901,0.02,0.344,0.1459,tmc
193,0.3879,0.02,0.3458,0.2463,tmc
194,0.3225,0.02,0.3694,0.2881,left
195,0.4222,0.02,0.4,0.1578,tmc
196,0.4108,0.0389,0.3587,0.1915,tmc
197,0.472,0.0277,0.2615,0.2389,tmc
198,0.4349,0.0554,0.3864,0.1233,tmc
199,0.4493,0.0568,0.3168,0.1771,tmc
200,0.5364,0.0796,0.3193,0.0647,tmc
201,0.4773,0.0653,0.3896,0.0677,tmc
202,0.5027,0.02,0.3455,0.1317,tmc
203,0.4248,0.02,0.3189,0.2364,tmc
204,0.3431,0.1204,0.3347,0.2019,tmc
205,0.4838,0.0605,0.3415,0.1142,tmc
206,0.3749,0.0757,0.2567,0.2928,tmc
207,0.541,0.02,0.2985,0.1405,tmc
208,0.5102,0.0273,0.2774,0.1852,tmc
209,0.4056,0.0936,0.3404,0.1605,tmc
210,0.4033,0.0261,0.3461,0.2245,tmc
211,0.4761,0.0296,0.3256,0.1687,tmc
212,0.4038,0.02,0.3572,0.219,tmc
213,0.4008,0.02,0.2981,0.2811,tmc
214,0.4643,0.1025,0.3064,0.1268,tmc
215,0.5012,0.064,0.3005,0.1343,tmc
216,0.341,0.0803,0.3543,0.2243,left
217,0.4108,0.0294,0.3061,0.2536,tmc
218,0.4357,0.11,0.3147,0.1395,tmc
219,0.3354,0.02,0.3834,0.2612,left
220,0.4082,0.02,0.2528,0.319,tmc
221,0.3457,0.0553,0.3568,0.2421,left
222,0.4146,0.02,0.3868,0.1786,tmc
223,0.4934,0.0428,0.3952,0.0686,tmc
224,0.5201,0.02,0.4,0.0599,tmc
225,0.4558,0.0343,0.349,0.1609,tmc
226,0.4014,0.0595,0.2846,0.2545,tmc
227,0.6131,0.02,0.3213,0.0456,tmc
228,0.5291,0.1693,0.2594,0.0422,tmc
229,0.4791,0.02,0.3775,0.1234,tmc
230,0.4224,0.0876,0.3658,0.1241,tmc
231,0.2765,0.0582,0.297,0.3683,other
232,0.424,0.0458,0.3599,0.1703,tmc
233,0.4221,0.0304,0.2894,0.2582,tmc
234,0.4555,0.1578,0.2689,0.1178,tmc
235,0.4891,0.02,0.3274,0.1634,tmc
236,0.4425,0.113,0.3254,0.1191,tmc
237,0.3441,0.0209,0.2445,0.3905,other
238,0.4019,0.0889,0.2738,0.2354,tmc
239,0.4061,0.0826,0.2611,0.2502,tmc
240,0.4259,0.02,0.3599,0.1942,tmc
241,0.2995,0.075,0.3352,0.2903,left
242,0.3817,0.0357,0.2853,0.2973,tmc
243,0.4887,0.02,0.3373,0.1539,tmc
244,0.3135,0.0771,0.3227,0.2867,left
245,0.4236,0.0669,0.3782,0.1313,tmc
246,0.4328,0.0826,0.3451,0.1394,tmc
247,0.447,0.0896,0.387,0.0764,tmc
248,0.3922,0.0452,0.2859,0.2767,tmc
249,0.4558,0.0961,0.3185,0.1296,tmc
250,0.4801,0.0757,0.2388,0.2054,tmc
251,0.349,0.0391,0.2893,0.3226,tmc
252,0.3727,0.0832,0.2716,0.2725,tmc
253,0.4198,0.02,0.3209,0.2393,tmc
254,0.5787,0.058,0.3005,0.0628,tmc
255,0.4455,0.1095,0.2989,0.1462,tmc
256,0.5134,0.02,0.3487,0.1179,tmc
257,0.4605,0.0435,0.3788,0.1172,tmc
258,0.3688,0.1118,0.2342,0.2852,tmc
259,0.4209,0.02,0.3151,0.244,tmc
260,0.4832,0.02,0.3293,0.1675,tmc
261,0.4667,0.0449,0.3274,0.161,tmc
262,0.4394,0.0696,0.3364,0.1546,tmc
263,0.3542,0.02,0.3779,0.2479,left
264,0.4649,0.0257,0.4,0.1094,tmc
265,0.4982,0.02,0.3616,0.1202,tmc
266,0.4767,0.0463,0.3157,0.1613,tmc
267,0.484,0.02,0.2196,0.2765,tmc
268,0.447,0.0634,0.2689,0.2207,tmc
269,0.4249,0.1496,0.3409,0.0845,tmc
270,0.588,0.0634,0.3389,0.0097,tmc
271,0.3884,0.0256,0.347,0.239,tmc
272,0.2985,0.0612,0.3793,0.2611,left
273,0.451,0.0287,0.3609,0.1594,tmc
274,0.4625,0.0721,0.3938,0.0716,tmc
275,0.4167,0.02,0.3187,0.2446,tmc
276,0.4572,0.0896,0.3424,0.1107,tmc
277,0.3939,0.1021,0.3444,0.1596,tmc
278,0.3894,0.0772,0.2982,0.2352,tmc
279,0.4544,0.0589,0.2454,0.2412,tmc
280,0.3314,0.1086,0.303,0.257,tmc
281,0.416,0.0668,0.3228,0.1944,tmc
282,0.4213,0.0467,0.2497,0.2823,tmc
283,0.5277,0.1041,0.2597,0.1085,tmc
284,0.4285,0.0427,0.2157,0.3131,tmc
285,0.3661,0.02,0.2933,0.3206,tmc
286,0.4822,0.0725,0.2431,0.2022,tmc
287,0.3884,0.02,0.2215,0.3701,tmc
288,0.4149,0.02,0.2864,0.2787,tmc
289,0.4731,0.02,0.2958,0.211,tmc
290,0.5282,0.0338,0.2754,0.1626,tmc
291,0.4817,0.0526,0.2642,0.2015,tmc
292,0.5323,0.1074,0.2795,0.0807,tmc
293,0.5829,0.0536,0.2814,0.082,tmc
294,0.5639,0.034,0.3233,0.0787,tmc
